id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.12
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.02,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.10
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,0.15
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.05
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.20,0.25
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.40,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.11
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,0.12
11,Blue Note Serenade,Jazz Masters,jazz,romantic,0.45,95,0.75,0.55,0.80,0.25,0.20
12,Thunder Forge,Iron Hammer,metal,aggressive,0.95,160,0.35,0.70,0.08,0.01,0.10
13,Moonlight Sonata,Classical Echoes,classical,serene,0.30,70,0.60,0.40,0.95,0.98,0.02
14,Island Rhythms,Reggae Sunsplash,reggae,laid-back,0.65,100,0.80,0.85,0.50,0.15,0.30
15,Urban Flow,City Beats,hip-hop,groovy,0.78,105,0.70,0.90,0.20,0.05,0.75
16,Country Roads,Bluegrass Band,country,folksy,0.55,120,0.85,0.75,0.60,0.30,0.18
17,Electric Dreams,Synth Syndicate,electronic,euphoric,0.88,135,0.65,0.95,0.15,0.60,0.05
18,Folk Tales,Acoustic Wanderers,folk,reflective,0.50,85,0.55,0.50,0.85,0.40,0.22
